[2024-11-09 00:08:54] [INFO    ] discord.client: logging in using static token
[2024-11-09 00:08:54] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-11-09 00:08:54] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-11-09 00:08:54] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '789967024105324574', 'username': 'hamipa', 'avatar': '7389de0955af7b8eaaacb93684645bac', 'discriminator': '9679', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-11-09 00:08:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-11-09 00:08:55] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-11-09 00:08:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '789967024105324574', 'name': 'hamipa', 'icon': '90f740ee84f4a88768d33004a918255e', 'description': '翻訳と寝ることしかできないパンダ', 'type': None, 'bot': {'id': '789967024105324574', 'username': 'hamipa', 'avatar': '7389de0955af7b8eaaacb93684645bac', 'discriminator': '9679', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': 'eb5c2f5be2545333cdb9f5afe44a8ce35488fada6375595e13f6b5b60f1eb461', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '477096301364903936', 'username': 'tobyhamipa83', 'avatar': 'a3f204ad73a506fbfda4f3964f5f782d', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': 'a_87e369e65eebdfa98fa06ea1fe877755', 'accent_color': 30719, 'global_name': 'toby', 'avatar_decoration_data': {'asset': 'a_10b9f886b513b77ccdd67c8784f1a496', 'sku_id': '1144059132517826601', 'expires_at': None}, 'banner_color': '#0077ff', 'clan': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2500, 'monetization_state': 1, 'verification_eligibility_flags': 123676, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2}
[2024-11-09 00:09:00] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/789967024105324574/commands with [{"name":"en_topic","description":"get an AI generated topic","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"jp_topic","description":"AI\u304c\u30c8\u30d4\u30c3\u30af\u3092\u751f\u6210\u3057\u3066\u304f\u308c\u308b\u30b3\u30de\u30f3\u30c9","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"en_translate","description":"translate japanese to english","type":1,"options":[{"type":3,"name":"content","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"jp_translate","description":"\u82f1\u8a9e\u3092\u65e5\u672c\u8a9e\u306b\u7ffb\u8a33\u3059\u308b","type":1,"options":[{"type":3,"name":"content","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2024-11-09 00:09:00] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2024-11-09 00:09:00] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/789967024105324574/commands has received [{'id': '1304454639114260571', 'application_id': '789967024105324574', 'version': '1304454639114260573', 'default_member_permissions': None, 'type': 1, 'name': 'en_topic', 'name_localizations': None, 'description': 'get an AI generated topic', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'nsfw': False}, {'id': '1304454639114260572', 'application_id': '789967024105324574', 'version': '1304454639114260574', 'default_member_permissions': None, 'type': 1, 'name': 'jp_topic', 'name_localizations': None, 'description': 'AIがトピックを生成してくれるコマンド', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'nsfw': False}, {'id': '1304279594773381185', 'application_id': '789967024105324574', 'version': '1304317506185330730', 'default_member_permissions': None, 'type': 1, 'name': 'en_translate', 'name_localizations': None, 'description': 'translate japanese to english', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'options': [{'type': 3, 'name': 'content', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1304279594773381184', 'application_id': '789967024105324574', 'version': '1304281253742120992', 'default_member_permissions': None, 'type': 1, 'name': 'jp_translate', 'name_localizations': None, 'description': '英語を日本語に翻訳する', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'options': [{'type': 3, 'name': 'content', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2024-11-09 00:09:01] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-11-09 00:09:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-ndg9",{"micros":0.0}]']}}
[2024-11-09 00:09:01] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-11-09 00:09:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
